cluster,route,page_component,mobile_surface,figma_group,priority,states_to_design,must_preserve
Public,/:lang/,Landing,Responsive public page,01 Public,P1,"main","mobile nav menu; hero CTAs; learn/pricing anchors"
Public,/:lang/learn,LearnHubPage,Responsive public page,01 Public,P1,"main","guide cards; CTA hierarchy; localized content"
Public,/:lang/learn/:guideSlug,LearnGuidePage,Responsive public page,01 Public,P2,"main; loading","guide body readability; back-to-hub CTA"
Public,/:lang/terms,LegalDocumentPage,Responsive document page,01 Public,P3,"main","document switching; back behavior; mobile readability"
Public,/:lang/privacy,LegalDocumentPage,Responsive document page,01 Public,P3,"main","document switching; back behavior; mobile readability"
Public,/:lang/refund,LegalDocumentPage,Responsive document page,01 Public,P3,"main","document switching; back behavior; mobile readability"
Auth,/:lang/login,AuthPage -> MobileAuthPage,Dedicated mobile page,02 Auth & Pricing,P1,"main; error","login; redirect target; forgot-password link"
Auth,/:lang/register,AuthPage -> MobileAuthPage,Dedicated mobile page,02 Auth & Pricing,P1,"main; error","register; redirect target; social auth"
Auth,/:lang/auth,AuthPage -> MobileAuthPage,Dedicated mobile page,02 Auth & Pricing,P1,"main; loading; error","OAuth callback handling; redirect target"
Auth,/:lang/verify-email,VerifyEmailPage,Responsive auth page,02 Auth & Pricing,P2,"main; success; error","verification state; login/profile CTA"
Auth,/:lang/forgot-password,ForgotPasswordPage,Responsive auth page,02 Auth & Pricing,P2,"main; success; error","request reset flow"
Auth,/:lang/reset-password,ResetPasswordPage,Responsive auth page,02 Auth & Pricing,P2,"main; success; error","reset form; submit state; login CTA"
Pricing,/:lang/pricing,SubscriptionPage -> MobileSubscriptionPage,Dedicated mobile page,02 Auth & Pricing,P1,"main; loading; locked","plan cards; trial CTA; restore purchases"
Pricing,/:lang/pricing/details,PricingDetailsPage,Responsive pricing page,02 Auth & Pricing,P1,"main; auth-redirect","plan selection; checkout CTA; returnTo"
Pricing,/:lang/payment/success,PaymentSuccessPage,Responsive result page,02 Auth & Pricing,P1,"success; delayed; auth-redirect","activation status; returnTo; pricing fallback"
Today,/:lang/dashboard,DashboardPage -> MobileDashboard,Dedicated mobile page,03 Today & Path,P1,"main; loading; locked","resume learning; quick actions; stats; upgrade prompts"
Today,/:lang/dashboard/course,CourseDashboard,Responsive/shared mobile behavior,03 Today & Path,P2,"main","course jump state; continue path CTA"
Today,/:lang/dashboard/:moduleParam,ModulePage,Responsive/shared mobile behavior,03 Today & Path,P2,"main; loading","module entry logic; back behavior"
Path,/:lang/courses,CoursesOverview -> MobileCoursesOverview,Dedicated mobile page,03 Today & Path,P1,"main; search; loading","search; module picker; course selection"
Path,/:lang/course/:instituteId,CourseDashboard,Responsive/shared mobile behavior,03 Today & Path,P1,"main; loading","current material; module entry; progress"
Path,/:lang/course/:instituteId/vocab,VocabModulePage -> MobileVocabView,Dedicated mobile page,03 Today & Path,P1,"main; empty; locked","unit picker; tab modes; settings; returnTo"
Path,/:lang/course/:instituteId/grammar,GrammarModulePage -> MobileGrammarView,Dedicated mobile page,03 Today & Path,P1,"main; empty; loading","grammar list; detail sheet; AI/helper pane; returnTo"
Path,/:lang/course/:instituteId/:moduleParam,ModulePage,Responsive/shared mobile behavior,03 Today & Path,P2,"main; loading","listening/reading module entry; back behavior"
Drill,/:lang/practice,PracticeHubPage,Responsive practice page,04 Drill,P1,"main","practice shortcuts; recommendation CTA; TOPIK entry"
Drill,/:lang/review,ReviewDashboardPage,Responsive drill page,04 Drill,P1,"main; empty","quick/full/weak review CTA; progress summary"
Drill,/:lang/review/quiz,ReviewQuizPage,Responsive drill page,04 Drill,P1,"main; active-session; completed","mode switch; completion CTA; back to review"
Drill,/:lang/notebook,NotebookPage -> MobileNotebookPage,Dedicated mobile page,04 Drill,P1,"main; empty; search","search; tags; note detail; jump back to source"
Drill,/:lang/typing,TypingPage -> MobileTypingPage,Dedicated mobile page,04 Drill,P1,"lobby; active-session; completed","keyboard-safe layout; retry; save result"
Drill,/:lang/topik,TopikPage -> MobileTopikPage,Dedicated mobile page,04 Drill,P1,"lobby; loading; locked","history; exam selection; upgrade prompts"
Drill,/:lang/topik/history,TopikPage -> MobileTopikPage,Dedicated mobile page,04 Drill,P1,"history","history filter; back behavior"
Drill,/:lang/topik/:examId,TopikPage -> MobileTopikPage,Dedicated mobile page,04 Drill,P1,"active-session; review; result","question nav; timer; submit; review"
Drill,/:lang/topik/:examId/:view,TopikPage -> MobileTopikPage,Dedicated mobile page,04 Drill,P1,"active-session; review; result","view switching; back behavior"
Drill,/:lang/topik/writing/:examId,TopikWritingPage,Immersive mixed mobile page,04 Drill,P1,"active-session; evaluating; result","writing prompt; submit; feedback; immersive header"
Drill,/:lang/vocab-book,VocabBookPage -> MobileVocabDashboard,Dedicated mobile page,04 Drill,P1,"main; empty; locked","category filters; selection; mode entry; mobileView=list"
Drill,/:lang/vocab-book/immerse,VocabBookImmersivePage,Immersive mobile page,04 Drill,P1,"active-session; completed","swipe; review actions; back path"
Drill,/:lang/vocab-book/listen,VocabBookListenPage,Immersive mobile page,04 Drill,P1,"active-session; completed","audio controls; save session; back path"
Drill,/:lang/vocab-book/dictation,VocabBookDictationPage,Immersive mobile page,04 Drill,P1,"active-session; completed","input area; checking flow; back path"
Drill,/:lang/vocab-book/spelling,VocabBookSpellingPage,Immersive mobile page,04 Drill,P1,"active-session; completed","input; grading; retry; back path"
Drill,/:lang/vocab-book/export-pdf,VocabBookExportPdfPage,Responsive utility page,04 Drill,P3,"main","export options; back behavior"
Media,/:lang/media,MediaHubPage -> MobileMediaPage,Dedicated mobile page,05 Media,P1,"main; loading","tab switching; video/podcast/reading entry; returnTo"
Media,/:lang/reading,ReadingDiscoveryPage -> MobileMediaPage shared,Dedicated shared mobile page,05 Media,P1,"main; loading; empty","filters; article/book open; returnTo"
Media,/:lang/reading/:articleId,ReadingArticlePage,Responsive study page,05 Media,P1,"main; loading; error","dictionary; annotations; save; session restore; back path"
Media,/:lang/reading/books/:slug,PictureBookReaderPage,Immersive study page,05 Media,P1,"main; loading; error","page nav; audio; controls; session restore"
Media,/:lang/reading/library/:slug,EpubReaderPage,Responsive study page,05 Media,P2,"main; loading","reader controls; chapter context; back path"
Media,/:lang/podcasts,PodcastDashboard -> MobilePodcastDashboard,Dedicated mobile page,05 Media,P1,"main; loading; empty","search entry; subscriptions; history; returnTo"
Media,/:lang/podcasts/subscriptions,PodcastDashboard -> MobilePodcastDashboard,Dedicated mobile page,05 Media,P2,"subscriptions","subscriptions view; channel open"
Media,/:lang/podcasts/search,PodcastSearchPage -> MobilePodcastSearch,Dedicated mobile page,05 Media,P1,"main; empty","search query; results; returnTo"
Media,/:lang/podcasts/channel,PodcastChannelPage,Responsive media detail page,05 Media,P1,"main; loading; empty","episode list; open player; returnTo"
Media,/:lang/podcasts/player,PodcastPlayerPage,Immersive media page,05 Media,P1,"active-session; info-sheet; locked","player controls; transcript; expand info; returnTo"
Media,/:lang/podcasts/history,HistoryPage,Responsive media page,05 Media,P2,"main; empty","history list; reopen player; back behavior"
Media,/:lang/videos,VideoLibraryPage,Responsive media page,05 Media,P1,"main; loading; empty","video cards; open player; returnTo"
Media,/:lang/video/:id,VideoPlayerPage -> MobileVideoPlayerPage,Dedicated mobile page,05 Media,P1,"active-session; info-sheet; error","player controls; sheet content; back path"
Me,/:lang/profile,ProfilePage -> MobileProfilePage,Dedicated mobile page,06 Me,P1,"main; loading","profile summary; streak; achievements; membership; security"
Utility,/:lang/dictionary/search,DictionarySearchPage,Responsive utility page,06 Me,P2,"main; empty","search; results; returnTo"
Utility,/:lang/preview/mobile,MobilePreviewPage,Internal preview page,07 Components & Tokens,P2,"main","header variants; bottom nav; sheet patterns"
